Statement,Actual (y),Predicted (ŷ)
Union Finance Minister Nirmala Sitharaman today targeted Congress over party chief Sonia Gandhi's advice to party-ruled states to bypass the farm laws brought by Centre through legislative measures and said that the opposition party in its 2019 Lok Sabha manifesto had promised the Agricultural Produce Market Committees Act will be repealed.?Title,1,1
Did Pakistani cricket fans demand Virat Kohli instead of Kashmir? Fact Check!,0,0
"Trinamool Congress MLAs have lost faith in Mamata Banerjee govt, says West Bengal BJP chief",0,1
Congress woman leader beaten up by party workers for questioning decision to field 'rapist',1,1
Temple politics is playing out on Twitter Facebook with a temple that doesnt exist,0,0
Fact Check: Video showing rocket launches by Indian Army has nothing to do with PoK,0,0
Fact Check: This picture showing the plight of patients is not from Kashmir,0,0
'I can't breathe': Hyderabad man's video message to father before he dies of Coronavirus,1,0
Kerala govt recommends CBI inquiry into death of man found in well after 24 days of protests by family,1,1
Fake Poll With Unrelated BBC Link Predicts BJP Win In Karnataka,0,0
"Rajya Sabha polls for 11 seats in UP, Uttarakhand on November 9: ECI",1,1
"No, this is not a photo of Indias National Maritime Museum in Mumbai",0,0
Arms dropped for terrorists along LoC recovered by Army,1,1
Old Football Fans Vandalism Video Revived As Muslims Rioting In...,0,0
"In poll-bound Bihar, Sushant death case becomes political",1,1
Fact Check: This story about woman falling from Eiffel Tower is too good to be true,0,0
Suspected Covid positive candidates can take law exam in isolation room: Supreme Court,1,1
"HIGHLIGHTS: Will resume Covid-19 vaccine trials after DCGI nod, says Serum Institute",1,1
"No, Pressing The Cancel Button Twice On An ATM Does Not Prevent Pin...",0,0
Old Video Revived As Crowded Railway Station During COVID-19,0,0
Fact Check: Porn pics used to cook up a story about rape by Indian soldiers,0,0
Man detained for 'confining and raping' employee,1,1
President Ram Nath Kovind celebrates Raksha Bandhan with nursing professionals,1,1
"PM Modi pushes for defence manufacturing in India, says 'plan to give big role to private players'",1,1
"After labour strike and lockout, PepsiCo to close production unit in Kerala",1,1
1 dead after heavy rains in Delhi several houses washed away in sewage water,1,1
"First time in history, Railways achieves 100 punctuality",1,1
"'Not committed any crime, falsely implicated': Rhea Chakraborty contends in bail plea",1,1
Govt will consider revoking suspension of 8 MPs only after they apologise: Ravi Shankar Prasad,1,1
'Around 300 terrorists waiting in launch pads across LoC in PoK to infiltrate into India': Army,1,1
SHOCKING: Arvind Kejriwal To Reward Himself Rs 1 Crore For Martydom,0,1
"Congress President Sonia Gandhi's condition is 'stable', discharged from Sir Ganga Ram Hospital",1,1
Fake News of Coronavirus infecting Boiler Chicken.,0,0
"Arrested ISIS operative, who had plotted attack in Delhi around Aug 15, was in contact with ISKP",1,1
"Old video shared to claim Muslims lynched Hindu man, but its from Bangladesh",0,0
"'Political deadlock, instability prevailing in Rajasthan': Mayawati hits out at Ashok Gehlot, seeks President's rule",1,1
"Meticulously planned, Uma Bharti took onus: Justice Liberhan on Babri Masjid demolition",1,1
"'Natural for MLAs to be upset': Ashok Gehlot after truce reached between Sachin Pilot, Congress",1,1
UPSC declares Civil Services Exam 2019 result Pradeep Singh tops list,1,1
"Was a child abducting gang caught on NH 11 in Jaipur, Rajasthan?",0,0
Video of water-logging from sea waves in Muscat made viral as Mumbais Marine Drive,0,0
"Are there 61,945 Muslim freedom fighters names on India Gate?",0,0
HoaXposed: BJP didnt have identical margins of victory in four UP civic body polls,0,0
"ED seeks to inspect new I-T records in cases against Capt, son",1,1
"With over 42 lakh cases, India surpasses Brazil in terms of coronavirus caseloads",1,1
Navratri 2020: UP CM Yogi Adityanath takes this big decision for women safety,1,1
Fact Check: Old video from Kashmir linked to Indo-China flare-up in Ladakh,0,0
Ramesh Pokhriyal Nishank to e-inaugurate infrastructure facilities at IIT Roorkee,1,1
Fact Check: Rumours galore over who settled SPBs hospital bills,0,0
T'gana Guv bats for more tests,1,1
Climate Strike Protests Shared As Global Outrage Against Babul...,0,0
Old photos misrepresented as new images of India unemployment protests,0,0
Old Video Of Contractual Teachers In UP Threatening To Embrace Islam...,0,0
"No, this video does not show Muslims singing a Hindu song at a mosque in Dubai",0,0
Mythical bird Jatayu mentioned in Ramayan spotted in Kerala? Fact check,0,0
"'Fortunate to have affection, blessings of Lata Didi': PM Modi wishes legendary singer on her birthday",1,1
"No, Denmark Has Not Passed A Law Banning Muslims From Voting",0,0
"Mahoba businessman dies, suspended SP to face murder charge",1,1
School children liking 'online classes' but missing classroom study : Survey,1,1
"Sushant Singh Rajput case: Rhea Chakraborty, 2 family members appear before ED for questioning",1,1
Murder Of Gujarat Police Informer Shared As Dalit Killing,0,1
Multiplexes to reopen with 50 seating from Oct 15,1,1
"Rajasthan crisis: FIR against Union Minister Gajendra Singh Shekhawat, rebel Cong MLA in audio clip case",1,1
Fact Check: Men in lingerie passed off as ISIS fighters with bizarre story,0,0
Congress leaders call for use of tech for participation in Monsoon Session,1,1
High Court restricts Assembly Speaker from taking any action against Sachin Pilot camp till Tuesday,1,1
Fake WhatsApp message claiming no COVID-19 Deaths in Israel due to miraculous solution of Lemon and Bicarbonate,0,0
Indian exports to Armenia increased three-fold in past three years,1,1
"Amid border tensions with China, Indian defence forces considering 'Made in India' carbine",1,1
Janam TV Peddles Fake News Of Trupti Desai Converting To Christianity,0,1
"2 dead, 10.75 lakh people affected in 18 districts by floods in Assam",1,1
The Sunday Guardian's 'Fake News' Disclaimer And Other News You Almost ...,0,0
Fact Check: This bus accident involving Amarnath yatris is three years old,0,0
"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC",1,1
"Bid to assure: MSP up for six crops, BJP tells MPs to spread the word",1,1
Has Maharashtra Govt cancelled Conveyance Deeds? Fact Check,0,0
"No, this video is not 'breaking news' revealing electoral fraud by Indias ruling party",0,0
PM Narendra Modi to announce 3 more gifts for Bihar this Sunday,1,1
"Fact Check: No, clapping together at 5 pm during Janta curfew will not kill coronavirus",0,0
2016 Video Viral As Diwali Celebrations By The Indian Navy,0,0
"Massive fire breaks out at ONGC plant in Gujarat, no casualty reported PM Modi monitoring rescue ops",1,1
Ashok Gehlot sends fresh proposal to Rajasthan Guv on Assembly session from July 31 third in 5 days,1,1
Social activist Swami Agnivesh passes away,1,1
Fact Check: Is Bank of China opening its first branch in India amid border tensions?,0,0
Did Jashodaben Ask People Not To Vote For Modi?: A Fact Check,0,0
Mahua Moitra takes on PM CARES: 70 corpus from 38 PSU donations,1,1
"Fact Check: Rumours take venomous wings, turns butterfly into dreaded killer",0,0
"China's attempts to alter status quo will 'damage' peace along LAC, can have 'repercussions', warns India",1,1
"ISC Declares Results, AAP To Sit On Dharna For Inflated Marks",0,1
"FinMin announces Travel cash voucher, special festival advance schemes for government employees",1,1
Photo of Goa Congress Leader Falsely Shared As 'Naxal Bhabhi' In...,0,0
'BJP Govt cannot erase memory of 13 July martyrs': PDP lashes out at Centre,1,1
"'Truth must come out,' says SC on Sushant Singh case, pulls up Maharashtra govt over quarantining Bihar cop",1,1
